Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,Description
Return of the Living Dead,11/17/2013,4:30 PM,11/17/2013,6:01 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/return_of_the_living_dea.html"">Return of the Living Dead</a>
"
"O Brother, Where Art Thou?",11/17/2013,7:15 PM,11/17/2013,9:01 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/o_brother_where_art_thou.html"">O Brother, Where Art Thou?</a>
"
Lincoln,11/19/2013,7:00 PM,11/19/2013,9:30 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/lincoln.html"">Lincoln</a>
"
Killer of Sheep,11/20/2013,7:00 PM,11/20/2013,8:23 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/killer_of_sheep.html"">Killer of Sheep</a>
"
"O Brother, Where Art Thou?",11/20/2013,9:00 PM,11/20/2013,9:00 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/o_brother_where_art_thou.html"">O Brother, Where Art Thou?</a>
"
The Big Lebowski,12/04/2013,,12/04/2013,,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/big_lebowski.html"">The Big Lebowski</a>
"
Powerdove,12/05/2013,7:30 PM,12/05/2013,,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/powerdove.html"">Powerdove</a>
"
The Big Lebowski,12/06/2013,,12/06/2013,,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/big_lebowski.html"">The Big Lebowski</a>
"
Safety Last,12/07/2013,,12/07/2013,,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/safety_last.html"">Safety Last</a>
"
The Painting,12/14/2013,2:00 PM,12/14/2013,3:18 PM,False,Cornell Cinema (Willard Straight Theatre),"<a href=""http://cinema.cornell.edu/Fall2013/painting.html"">The Painting</a>
"
